channel,content,date,title,url
companies,中国铁塔基石投资或将引入高瓴资本及阿里巴巴 据彭博7月22日援引知情人士消息称，高瓴资本和淘宝等10家公司已成为中国铁塔香港IPO的基石投资者，预计将认购铁塔14亿美元股份。铁塔从本周一开始接受认购。另有信源称铁塔募资额将达80亿美元。知情人士还透露，高瓴资本和淘宝分别同意投资4亿美元和1亿美元。其他基石投资者包括上汽集团、中国工商银行、中国石油天然气集团旗下关联公司。铁塔于今年5月在港交所递交招股书。 斗鱼拟转向赴美IPO 募资6至7亿美元 据英国《金融时报》7月23日援引多位信源称，此前考虑香港上市的直播平台斗鱼计划赴美IPO（首次公开发行），募资额6-7亿美元。腾讯曾于今年3月领投斗鱼6.3亿美元融资。CBInsights分析师和Crunchbase对斗鱼的估值分别为15.1亿美元和11亿美元。腾讯投资的另一直播平台虎牙今年五月纽交所上市，发行价12美元，7月20日收报35.71美元。 阿里腾讯CMC拟最高25亿美元收购WPP中国业务 据英国《天空广播》7月21日消息，阿里巴巴、腾讯及华人文化投资基金（CMC）有意购买WPP中国业务20%的股份，目前仍处于谈判早起阶段，交易估价约20-25亿美元，阿里巴巴、腾讯和CMC或将获得相等的股权。WPP发言人拒绝置评。WPP为全球最大广告传播集团，旗下包括奥美、智威汤逊、凯度、群邑等广告公司和市场调查机构。 软银或将10亿美元投资商汤科技 据彭博7月20日援引知情人士消息称，软银旗下愿景基金正考虑10亿美元投资人工智能创业公司商汤科技。上述知情人士称，愿景基金和商汤科技目前仍然在细化投资协议的具体内容，投资细节仍然可能发生变动。商汤科技于软银未对该消息置评。2018年以来，商汤科技已融资12.2亿美元，投后估值达45亿美元。软银千亿美元愿景基金已投资超过30家科技公司，资金使用已近1/3。 康卡斯特放弃福克斯 转而竞购天空广播 据彭博7月21日消息，继康卡斯特上周四宣布放弃竞购福克斯之后，迪士尼与康卡斯特转而将竞购目标转向英国天空广播。康卡斯特计划出资260亿英镑（约340亿美元），高出迪士尼竞价6%。目前迪士尼持有天空广播39%的股份。 昆明下月起叫停共享单车投放 据新华社7月22日消息，《昆明市共享单车运营服务管理实施细则》将于8月1日起实施，自下月起将不再接受新企业投放共享单车的申请，现有共享单车运营企业投放新车也须严格报备。截至7月1日，昆明市内共有摩拜、ofo、哈罗、青桔四家共享单车运营企业，企业报备投放约25万辆共享单车，实际投放量约35万辆，全市注册用户约400万人。 顺丰首发海外债获7倍超额认购 7月20日顺丰公告称，其发行5年期固定利息美元债受到国际投资者青睐，全球最大保险机构宏利人寿、中国人寿、友邦保险、国泰人寿，富达基金、Pimco、贝莱德等参与，最终获得7倍超额认购。此次发债为中国快递物流企业首次国际债券发行。 Pay Pal创始人彼得·蒂尔或将投资中国创业公司 据彭博社7月20日援引知情人士消息称，硅谷知名投资者彼得·蒂尔（Peter Thiel）正考虑其投资中国创业公司的策略，包括直接成立基金或参与投资。该消息被彼得·蒂尔发言人否认。彼得·蒂尔为Facebook早期投资者和Pay Pal联合创始人，个人身价约33亿美元，管理6家风险投资公司。 （记者 钱童、侯奇江整理）,2018/7/23,T早报|中国铁塔基石投资或将引入高瓴、阿里；阿里腾讯CMC拟最高25亿美元收购WPP中国业务；斗鱼拟转向赴美IPO,http://companies.caixin.com/2018-07-23/101307347.html
companies,苏宁体育完成A轮融资，财新记者7月20日从两个独立消息人士处获悉，苏宁体育投前估值超150亿元。其中，一位体育行业人士称融资额为6亿美元。苏宁体育称本轮融资由高盛、阿里巴巴领投，恒大、云锋基金、商汤科技、浙江省体育产业基金、江苏省体育产业投资基金、建银国际、民银国际、农银国际等跟投。 一位接近本轮投资人士告诉财新记者，本轮苏宁体育融资各方投资时间不同，而融资额和估值方面也曾调整。上述人士指出，苏宁体育本轮融资从1月开始，一开始拟融资4亿美元，投前估值23亿美元。而领投方高盛投资1亿美元，估值为20亿美元，而有投资机构的进入的估值为21亿美元。整体而言，苏宁体育投前估值超150亿元。,2018/7/20,独家|苏宁体育A轮融资估值超150亿元 阿里、高盛领投,http://companies.caixin.com/2018-07-20/101306933.html
companies,美丽联合集团已于7月19日向美国证券交易委员会（SEC）递交上市招股书。 这意味着，国内主要电商平台都已完成上市或者正在上市进程中。 美丽联合集团准备赴美上市事宜在市场早已是公开的秘密，本次交表严格对外保密。对于目前的上市进度，美丽联合集团公共关系人员回应财新记者称“不作评论”。一位市场人士告诉财新记者，美丽联合IPO募资规模最高或达到5亿美元。 美丽联合集团由美丽说和蘑菇街合并而来，两家均为女性垂直电商平台。 美丽说与蘑菇街分别成立于2009年和2011年，早期均为社区导购网站，给淘宝平台导流。2013年10月，阿里巴巴美丽说、蘑菇街先后遭遇淘宝冻结淘宝客佣金、切断支付宝封杀压制，被阿里巴巴整体切断流量。两家公司开始转型，做女性电商平台。,2018/7/20,独家|美丽联合集团已递交赴美IPO招股书,http://companies.caixin.com/2018-07-20/101306812.html
companies,从中国移动副总经理任上调至中国电信总经理十个月之后，刘爱力离开电信系统。7月19日，中国电信总经理、党组副书记的刘爱力轮岗转任中国邮政总经理、党组书记。原中国邮政总经理、党组书记李国华赴任中国联通总经理。 此前7月10日，在中国联通工作了11年的陆益民已平调转任中国通用总经理。（详见财新网报道《中国联通总经理陆益民平调转任中国通用总经理》） 刘爱力2017年9月刚从中国移动调至中国电信。刘爱力现年55岁（1963年出生），山东莱州人，毕业于黑龙江省邮电学校大学专科，信息管理硕士、工商管理博士，教授级高级工程师。,2018/7/19,电信业频繁换帅 中国电信总经理刘爱力转任中国邮政总经理,http://companies.caixin.com/2018-07-19/101306469.html
finance,数据看点】 欧盟创纪录重罚谷歌43亿 2018年7月18日，欧盟宣布，对谷歌非法利用安卓操作系统加强其搜索引擎的主导地位，判处43.4亿欧元的反垄断罚款。欧盟将给予谷歌90天时间终止其围绕安卓操作系统的非法做法，否则将面临进一步罚款。谷歌立即发声明表示不服，将提出上诉，上诉过程或将花费超过两年时间。 阿里及其关联方150亿入股分众传媒 2018年7月18日，分众传媒发布公告称，阿里巴巴集团及其关联方将以约150亿元人民币战略入股分众。双方将共同探索新零售大趋势下数字营销的模式创新。 阿里巴巴（中国）网络技术有限公司 分众传媒信息技术股份有限公司 今日（7月19日）盘面上，多数板块下跌，医药生物、国防军工、交通运输、汽车等板块下跌，其中医药生物领跌；钢铁、建筑装饰、建筑材料、非银金融等板块上涨，其中钢铁领涨。上涨板块中，八一钢铁（600581.SH）、东湖高新（600133.SH）市盈率较低。 上海银行间同业拆放利率：隔夜Shibor跌10.9基点，报2.42%；7天Shibor跌1.9基点，报2.68%；1个月Shibor跌1.6基点，报3.20%。 世界顶尖设计咨询公司合作机会 敏感舆情指数榜单 本指数榜单面向所有A股上市公司，用于表征上市公司舆情敏感度的高低，每日开盘前更新。本榜单基于大数据技术自动计算和生成，不代表财新数据观点。（点击图片查看全榜）  资讯看点】 P2P连环爆雷波及多家上市公司 关停潮或仍持续2-3年 P2P平台不断爆雷，上市公司和国资企业背书的可靠性被打上大大的问号。目前仍有60%的P2P平台尚未上线银行资金存管系统，即使是已经上线银行存管的平台，也存在标的造假、信息披露等问题 研究：贸易战下的豆粕与美豆命运多舛 中国大宗商品指数整体窄幅波动，而在贸易战开打之日起，美豆价格江河日下，国内豆粕价格趋于震荡，等待进一步指引 中国祭出政策组合拳为经济纾困 宽信用已在路上 银保监会发文要求大中型银行加大信贷投放力度，中国央行据悉拟采取包括MLF在内的多项措施，增加商业银行的流动性，国开行也就棚改贷款问题作出回应 加杠杆易去杠杆痛 永泰能源百亿债务盛宴终酿苦果 短短几年间，永泰能源有息负债余额从2013年不到200亿元飙升至2018年一季度末的721.62亿元 欧盟对谷歌开罚43亿欧元 数据保护战无声拉响？ 当地时间周三（7月18日），欧盟反垄断监管机构向谷歌开出43.4亿欧元的反垄断罚单，要求其调整业务以改变安卓系统的垄断地位，全球数据公司的主题研究主管Cyrus Mewawalla向CNBC表示此举反映出欧美监管机构在解决这一问题时态度的迥然不同 橡树资本联合总裁：当下美股定价并不偏低 橡树资本的联合总裁Howard Marks表示，他认为投资者不应只看重股票的涨势，更应注重股票在上涨时是否定价合理。他认为当下美国股票的定价是正常的（fairly），并非定价偏低 中企全球动态：中誉集团完成收购加拿大GCC煤企矿业资产 卖方为矿山资产接管人德勤在加拿大的子公司Deloitte Restructuring，中誉集团旗下Sonicfield主导的买方集团，向卖方支付了4.1亿美元的交割现款、GCC的剩余负债等款项 “数据+”】 数据通是财新中文最高阅读权限产品，权益包括财新通，专业金融数据库“数据+”，还能提前阅读每期《财新周刊》、财新网部分精选报道。 用户直订数据通1998元，财新通用户升级数据通1698元。 [财新传媒新近在微信平台推出实验性单品“我闻”/“金融人·事”，对金融圈有更多垂直报道。可点此订阅。],2018/7/19,阿里及其关联方150亿入股分众传媒 欧盟创纪录重罚谷歌43亿|每日数据精华,http://finance.caixin.com/2018-07-19/101306447.html
companies,近日来，北京连续降雨，但淹水的西二旗并没有阻止来自全国各地的百度外卖代理商去中国最大的搜索引擎公司百度“静坐请愿”。7月18日，百度科技园门前广场上，聚集了数十位百度外卖代理商，依靠几十张泡沫坐垫，百度代理商已经驻扎广场数日。 记者了解到，静坐从7月15日开始，赶赴北京的代理商人数已从最初的50人陆续增加到200人，一位代理商向财新记者表示，从微信群中接到消息后，还有一部分代理商在陆续从全国各地赶来，这样的代理商在全国有超过300家。 7月16日，代理商经由媒体发表《十问李彦宏》，言辞激烈地指责百度不承认代理商投入，由拉扎斯（编者注：饿了么经营主体）接管百度代理商打下的市场数据和份额。代理商称百度“卸磨杀驴，坐享其成”。,2018/7/19,特稿|外卖市场两场整合后 200代理商缘何去百度静坐？,http://companies.caixin.com/2018-07-19/101306349.html
companies,导语：阿里150亿元入股电梯广告巨头分众传媒；亚马逊无计划出售网络设备；Facebook将加大AI研究投入；百度因全球战略调整退出巴西；特朗普是Facebook上最大的政治广告投放者；中国资本流向美尖端技术；IHS Markit：游戏笔记本电脑市场将成长三倍 赛灵思收购中国AI芯片创业公司深鉴科技 据财新，世界最大的可编程芯片（FPGA）厂商赛灵思（Xilinx）宣布，收购中国AI芯片公司深鉴科技，收购价格未公布。未来，深鉴科技将继续在其北京办公室运营，成为赛灵思大中华区的一部分。深鉴科技成立于2016年，四位创始人均为清华大学背景，公司利用FPGA推出机器学习的硬件方案。赛灵思是深鉴科技的早期投资方。,2018/7/19,T早报丨欧盟向谷歌开出43亿欧元罚单；阿里150亿元入股电梯广告巨头分众传媒；百度因全球战略调整退出巴西,http://companies.caixin.com/2018-07-19/101306217.html
companies,大力发展新零售的阿里拿下线下电梯广告巨头分众传媒。7月18日晚，分众传媒（002027.SZ）发布公告称，阿里巴巴（NYSE：BABA，下称阿里）以150亿元战略入股上市公司。交易完成后，阿里将持有分众传媒10.32%股份，成为上市公司第二大股东。 根据分众传媒公告，此次阿里入股上市公司的交易分为三部分，其一，阿里全资控股公司阿里网络通过协议转让的方式，合计受让股东Power Star （HK）、Glossy City（HK）所持分众传媒7.74亿股股份，交易价格76.8亿元。此项交易完成之后，阿里将持有分众传媒5.28%股份。,2018/7/19,阿里为何150亿元入股电梯广告巨头分众传媒?,http://companies.caixin.com/2018-07-19/101306173.html
companies,人工智能芯片备受资本青睐，一家中国人工智能（AI）芯片创业公司刚成立两年就被国际芯片巨头收购。7 月 18 日，世界最大的可编程芯片（FPGA）厂商赛灵思（Xilinx）宣布，收购中国AI芯片公司深鉴科技。未来，深鉴科技将继续在其北京办公室运营，成为赛灵思大中华区的一部分。此次交易未公布财务细节。 深鉴科技成立于2016年，四位创始人均为清华大学背景。公司基于FPGA打造机器学习的硬件方案，可部署在摄像头、数据中心、汽车等产品中。,2018/7/18,AI·投资|赛灵思收购深鉴科技 中国AI芯片格局生变,http://companies.caixin.com/2018-07-18/101306120.html
companies,滴滴出行获Booking Holdings5亿美元投资 据财新，7月17日，滴滴出行宣布与全球最大在线旅行服务商Booking Holdings达成战略合作，滴滴获后者5亿美元战略投资。双方将互相提供流量入口，Booking旗下APP将提供滴滴叫车接口，而滴滴乘客将可以直接通过 Booking.com 或 Agoda 平台预订酒店住宿。滴滴方面告诉财新记者，目前双方APP中的具体接口均暂未上线。 爱奇艺收购手游厂商天象互娱 7月17日，爱奇艺宣布已经完成收购Skymoons Inc.和成都天象互动数字娱乐有限公司的100％股权。天象互娱总部位于中国成都，专注于手机游戏的研发以及全球发行，已与多家知名国际知识产权巨头达成合作协议，涉及基于IP资源的手机游戏同步开发和推广。,2018/7/18,T早报｜滴滴出行获Booking Holdings 5亿美元投资； 新东方在线欲赴港IPO；小米手机正式进入韩国,http://companies.caixin.com/2018-07-18/101305866.html
