channel,content,date,title,url
companies,美丽联合集团已于7月19日向美国证券交易委员会（SEC）递交上市招股书。 这意味着，国内主要电商平台都已完成上市或者正在上市进程中。 美丽联合集团准备赴美上市事宜在市场早已是公开的秘密，本次交表严格对外保密。对于目前的上市进度，美丽联合集团公共关系人员回应财新记者称“不作评论”。一位市场人士告诉财新记者，美丽联合IPO募资规模最高或达到5亿美元。 美丽联合集团由美丽说和蘑菇街合并而来，两家均为女性垂直电商平台。 美丽说与蘑菇街分别成立于2009年和2011年，早期均为社区导购网站，给淘宝平台导流。2013年10月，阿里巴巴美丽说、蘑菇街先后遭遇淘宝冻结淘宝客佣金、切断支付宝封杀压制，被阿里巴巴整体切断流量。两家公司开始转型，做女性电商平台。,2018-07-20,独家|美丽联合集团已递交赴美IPO招股书,http://companies.caixin.com/2018-07-20/101306812.html
companies,风口浪尖上的海航集团试图穿越风暴区的努力不断经受考验。在长达半年的停牌之后，陆续进入复牌程序的海航系上市公司股价纷纷下跌。7月19日，隶属于海航旅业板块的凯撒旅游（000796.SZ）宣布终止筹划重大资产重组事项，公司股票复牌，但开盘即遭遇一字跌停，截至今日收盘未能打开跌停板。而三天前复牌的海航资本板块上市公司渤海金控（000415.SZ），股价也连续大跌，截至今日收报4.27元/股，较复牌前已经跌去26.88%。,2018-07-20,海航系股票陆续复牌补跌 未进入2018年《财富》500强名单,http://companies.caixin.com/2018-07-20/101306573.html
companies,大力发展新零售的阿里拿下线下电梯广告巨头分众传媒。7月18日晚，分众传媒（002027.SZ）发布公告称，阿里巴巴（NYSE：BABA，下称阿里）以150亿元战略入股上市公司。交易完成后，阿里将持有分众传媒10.32%股份，成为上市公司第二大股东。 根据分众传媒公告，此次阿里入股上市公司的交易分为三部分，其一，阿里全资控股公司阿里网络通过协议转让的方式，合计受让股东Power Star （HK）、Glossy City（HK）所持分众传媒7.74亿股股份，交易价格76.8亿元。此项交易完成之后，阿里将持有分众传媒5.28%股份。,2018-07-19,阿里为何150亿元入股电梯广告巨头分众传媒?,http://companies.caixin.com/2018-07-19/101306173.html
companies,随着法国夺得2018年世界杯冠军，其赞助商华帝发起的“法国队夺冠，华帝退全款”活动开启退款流程。然而，此后两日，华帝退款变退卡、缺少协议无法退款、捆绑销售只能退一半等问题也随之浮现。 作为法国国家队官方赞助商，华帝股份有限公司（002035.SZ，下称华帝）于5月31日在官方微博宣布如果法国队在世界杯中夺冠，只要在6月1日0时至6月30日22时之间购买华帝“夺冠套餐”的消费者，就可以全额退款。该活动包含4款产品，分别是两款标价4399元的烟灶套装，一款标价2699元的热水器以及一台标价4999元的洗碗机。活动后来顺延至7月3日。（详见《世界杯法国夺冠 华帝股份“全额退款”慌不慌？》）,2018-07-18,华帝启动“夺冠套餐”退款流程 消费者拿到钱了么？,http://companies.caixin.com/2018-07-18/101306065.html
companies,7月17日凌晨，社交电商拼多多更新招股书。招股书显示，拼多多将在纳斯达克申请挂牌，股票代码“PDD”，承销商为高盛、瑞信、中金和华兴资本，受托银行为德意志银行。 拼多多计划发行8560万股美国存托股票（ADS，每ADS代表4股A类普通股），此外还有1284万ADS供承销商超额配售。ADS定价区间为16美元至19美元，最高拟融资18.7亿美元。如果超额发行，拼多多的总流通股本约为44.825亿普通股。以此计算，拼多多的流通市值在179亿美元—213亿美元之间。发行此轮若以最高每ADS 19美元的超额发行计算，其挂牌后市值将达到240亿美元。,2018-07-17,拼多多将纳斯达克挂牌 定价市值最高240亿美元,http://companies.caixin.com/2018-07-17/101305011.html
companies,美国司法部就AT&T收购时代华纳上诉 据CNBC，美国司法部将上诉反对AT&T收购时代华纳。美国联邦地区法院在6月做出裁定，美国司法部未能证明AT&T的收购将减少消费者的选择，或提高电视和互联网服务的价格，无条件批准AT&T推进收购。美国司法部去年11月针对AT&T的收购起诉，认为此交易将涉嫌垄断，并将抑制媒体创新。2016年10月，AT&T宣布854亿美元收购时代华纳。 老虎环球基金10亿美元入股软银 据路透，美国对冲基金老虎环球（Tiger Global）已向软银集团投资了超过10亿美元。其认为软银的价值在被低估，软银持有的阿里巴巴股份在过去几年间大幅升值，但软银的股价在过去5年并没有显著上涨。,2018-07-13,T早报|松下欲和特斯拉就中国工厂展开合作；马云出任联合国数字合作小组联合主席；老虎环球基金10亿美元入股软银,http://companies.caixin.com/2018-07-13/101301616.html
finance,数据看点】 映客港股上市 2018年7月12日，映客在港交所上市，开盘4.32港元，较发行价上涨12.21% 。按开盘价，映客总市值87.1亿港元。 映客：北京蜜莱坞网络科技有限公司 京东金融宣布B轮融资130亿 投后估值约1330亿 2018年7月12日，京东金融宣布已与中金资本、中银投资、中信建投和中信资本等投资人签署了具有约束力增资协议计划，融资金额约为130亿元人民币，投后估值约1330亿人民币。依照惯例成交条件，此轮融资预计将在2018年第三季度完成。 北京京东金融科技控股有限公司 今日（7月12日）盘面上，全线飘红。通信领涨，电子、计算机、非银金融涨幅居前。通信板块中，梅泰诺（300038.SZ）、永鼎股份（600105.SH）市盈率较低。 上海银行间同业拆放利率：隔夜Shibor报2.4870%，上涨8.10个基点。7天Shibor报2.6860%，上升0.7个基点。1个月Shibor报3.2220%，下跌1.90个基点。 德国烟草公司投资机会 敏感舆情指数榜单 本指数榜单面向所有A股上市公司，用于表征上市公司舆情敏感度的高低，每日开盘前更新。本榜单基于大数据技术自动计算和生成，不代表财新数据观点。（点击图片查看全榜）  中国汇市：逢高结汇助在岸人民币转升 央行似守非守市场预期自我修复 加拿大丰业银行策略师高奇认为，在上日人民币贬幅较大的情况下，通过中间价调整是主要的修正方式 特朗普发出关税威胁后 中美两国暗示有望恢复谈判 如果一方不信守承诺，谈判就不会成功，想要谈判取得成果，一方就不能拿枪指着另一方 高盛下调铜价预估 但表示市场悲观情绪过头 伦铜周三收于6145美元，为一年来的最低收盘价，并远低于高盛报告中修订后的近期目标水平 贸易战重创离岸人民币 离岸人民币跌幅达到2015年人民币贬值来最大 中企全球动态：阿里支持Ganesh设新基金专投印度初创公司 中国风投Ganesh Ventures获阿里旗下eWTP生态基金、香港澜玛资本首期3000万美元投资，成立了专注印度市场投资的新基金，基金目标规模为2.5亿美元 “数据+”】 数据通是财新中文最高阅读权限产品，权益包括财新通，专业金融数据库“数据+”，还能提前阅读每期《财新周刊》、财新网部分精选报道。 用户直订数据通1998元，财新通用户升级数据通1698元。,2018-07-12,映客在港交所上市 京东金融完成130亿B轮融资| 每日数据精华,http://finance.caixin.com/2018-07-12/101301163.html
companies,京东金融B轮融资尚未最终完成，因被媒体曝光而提前公布融资进度。7月12日，京东金融称，近期已和中金资本、中银投资、中信建投和中信资本等签署具有约束力的增资协议，融资130亿元，投后估值1330亿元，融资将在第三季度完成。 据财新记者了解，京东金融本轮融资于2月启动，投后估值200亿美元（约1300亿元），计划融资20亿美元（约合130亿元）。从目前披露情况看，京东金融基本完成年初的融资目标。 然而，多名知情人士向财新记者证实，相比京东体系内拆分出的京东物流，京东金融融资不算顺利，主要问题是市场对其估值有所犹豫。今年5月，一名市场中介人士透露，京东金融200亿美元的估值“比较勉强”：“如果是1000亿元人民币，都会好卖的多。现在市场上有投资人在以1000亿元的价格卖京东金融的老股，这对京东金融来说不是好事。”,2018-07-12,京东金融B轮估值1330亿元 融资半年进展不易,http://companies.caixin.com/2018-07-12/101300898.html
china,国家知识产权局将采取多项措施，压减发明专利审查周期。在日前举行第三季度例行新闻发布会上，该局相关人士作此番表态。 发布会公布的数据显示，2018年上半年，中国发明专利申请量为75.1万件；发明专利授权21.7万件，其中国内发明专利授权17.1万件。截至2018年6月底，国内（不含港澳台）发明专利拥有量共计147.5万件，每万人口发明专利拥有量达到10.6件。 2018年上半年，国家知识产权局共受理《专利合作条约》（PCT）专利申请2.3万件，同比增长6.3%。其中，2.16万件来自国内，同比增长7.6%；广东、北京、江苏、上海、山东、浙江和湖北七省市申请量均超过500件，占国内总量的八成以上。,2018-07-12,国家知识产权局：多措并举压减发明专利审查周期,http://china.caixin.com/2018-07-12/101300662.html
opinion,人口是一切经济社会活动的基础，几百年来，全球史诗般的人口大迁徙引发了区域兴衰、产业更替和霸权更迭。人口带来的居住需求更是房地产发展的基本需求，引发了各地区房地产市场的荣衰，美国东西海岸线城市群的繁荣映衬出东北部铁锈州的衰败，中国三大城市群崛起映衬出东北的没落。是什么驱动了人口大迁徙？未来中国人口向何处？带来哪些机会和挑战？ 我们在业内提出了广为流行的标准分析框架：“房地产长期看人口、中期看土地、短期看金融”，基于该框架在2015年房价大涨前夜成功预测了“一线房价翻一倍”，被评为年度十大经典预测。本文是我们历经半年、耗费大量人力搜集中国近3000个县级单位基础数据分析而成，后续还将推出系列报告，以进一步清晰地展示未来人口流动趋势。 1、人口迁移的基本逻辑：经济-人口分布平衡,2018-07-11,中国人口大迁移 2亿新增城镇人口去向何方,http://opinion.caixin.com/2018-07-11/101299431.html
